MCT_NM,TYPE,latitude,longitude,ADDR,LOCAL_UE_CNT_RAT,TYPE_NAME,MONTH
서귀포일터나눔 지역자활센터 - 엄블랑디,T1,33.2523903,126.5575943,제주 서귀포시 서귀동 330-25번지 서귀동,1.0,가정식,08월
까브,T20,33.4748682,126.4840848,제주 제주시 노형동 701-10번지 1층,1.0,양식,08월
까브,T20,33.4748682,126.4840848,제주 제주시 노형동 701-10번지 1층,1.0,양식,07월
까브,T20,33.4748682,126.4840848,제주 제주시 노형동 701-10번지 1층,1.0,양식,06월
아일랜드팩토리,T6,33.4967524,126.4511239,제주 제주시 이호일동 1707번지,1.0,단품요리 전문,11월
볼튼라운지펍,T6,33.4991008,126.5296443,제주 제주시 이도이동 1768-2번지 4층,1.0,단품요리 전문,11월
마음휴양소카페,T6,33.5129009,126.5316166,제주 제주시 일도일동 1067번지 1층,1.0,단품요리 전문,11월
비에이치,T25,33.476915,126.4506659,제주 제주시 도평동 965-2번지,1.0,치킨,04월
도원유통,T15,33.4873301,126.4853556,제주 제주시 노형동 916-4번지 1층,1.0,분식,08월
조커,T6,33.5013091,126.5431595,제주 제주시 이도이동 409-4번지 2층,1.0,단품요리 전문,12월
도원유통,T15,33.4873301,126.4853556,제주 제주시 노형동 916-4번지 1층,1.0,분식,05월
비에이치,T25,33.476915,126.4506659,제주 제주시 도평동 965-2번지,1.0,치킨,12월
도원유통,T15,33.4873301,126.4853556,제주 제주시 노형동 916-4번지 1층,1.0,분식,04월
주식회사 제주인제주애,T1,33.4882196,126.4873419,제주 제주시 연동 251-16번지 상가동동 2층 209호,1.0,가정식,10월
루체,T6,33.499215,126.5312611,제주 제주시 이도이동 1179-10번지 지하1층,1.0,단품요리 전문,10월
비에이치,T25,33.476915,126.4506659,제주 제주시 도평동 965-2번지,1.0,치킨,11월
서귀포일터나눔 지역자활센터 - 엄블랑디,T1,33.2523903,126.5575943,제주 서귀포시 서귀동 330-25번지 서귀동,1.0,가정식,07월
마음휴양소카페,T6,33.5129009,126.5316166,제주 제주시 일도일동 1067번지 1층,1.0,단품요리 전문,10월
비에이치,T25,33.476915,126.4506659,제주 제주시 도평동 965-2번지,1.0,치킨,07월
비에이치,T25,33.476915,126.4506659,제주 제주시 도평동 965-2번지,1.0,치킨,10월
도원유통,T15,33.4873301,126.4853556,제주 제주시 노형동 916-4번지 1층,1.0,분식,06월
도원유통,T15,33.4873301,126.4853556,제주 제주시 노형동 916-4번지 1층,1.0,분식,07월
미식가,T1,33.3082455,126.1645996,제주 제주시 한경면 고산리 3615-6번지,1.0,가정식,07월
비에이치,T25,33.476915,126.4506659,제주 제주시 도평동 965-2번지,1.0,치킨,09월
킹스홀덤펌,T6,33.4992523,126.5283893,제주 제주시 이도이동 1769-1번지 3층,1.0,단품요리 전문,10월
구구단,T6,33.4787935,126.4911562,제주 제주시 연동 1509-8번지 1층,1.0,단품요리 전문,02월
코코망가스,T6,33.4034138,126.4508866,제주 제주시 애월읍 광령리 1039-3번지 2층,1.0,단품요리 전문,01월
아하,T1,33.4891215,126.4925851,제주 제주시 연동 282-17번지 3층,1.0,가정식,03월
온기,T6,33.4950234,126.546744,제주 제주시 이도이동 1952-5번지 지하1층,1.0,단품요리 전문,08월
벨라,T6,33.4874929,126.4921407,제주 제주시 연동 283-2번지 2층,1.0,단품요리 전문,07월
일도돈,T1,33.5060861,126.5406736,제주 제주시 일도이동 378-4번지 동명빌딩 1층,1.0,가정식,03월
숙이포차,T6,33.9628716,126.2945522,제주 제주시 추자면 대서리 131-1번지 1층,1.0,단품요리 전문,04월
에스홀덤펍,T6,33.2463501,126.5642746,제주 서귀포시 서귀동 528-1번지 2층,1.0,단품요리 전문,07월
제주씨푸드,T6,33.5241111,126.5897835,제주 제주시 삼양일동 1662-12번지,1.0,단품요리 전문,04월
루체,T6,33.499215,126.5312611,제주 제주시 이도이동 1179-10번지 지하1층,1.0,단품요리 전문,04월
친구,T11,33.4917997,126.4798391,제주 제주시 연동 1953-3번지,1.0,맥주/요리주점,01월
벨라,T6,33.4874929,126.4921407,제주 제주시 연동 283-2번지 2층,1.0,단품요리 전문,04월
그리너제주삼화지구점,T6,33.5132164,126.5724962,제주 제주시 화북이동 826-1번지 5층,1.0,단품요리 전문,04월
송이축산정육식당삼양점,T1,33.520576,126.5799477,제주 제주시 삼양이동 2149-1번지 1층,1.0,가정식,03월
육화담,T1,33.2472371,126.564018,제주 서귀포시 서귀동 417-6번지 5층,1.0,가정식,04월
벨라,T6,33.4874929,126.4921407,제주 제주시 연동 283-2번지 2층,1.0,단품요리 전문,05월
수연,T6,33.250613,126.5628064,제주 서귀포시 서귀동 278-7번지 1층,1.0,단품요리 전문,05월
오리본가,T6,33.2545545,126.5712908,제주 서귀포시 동홍동 647-4번지,1.0,단품요리 전문,07월
마음휴양소카페,T6,33.5129009,126.5316166,제주 제주시 일도일동 1067번지 1층,1.0,단품요리 전문,07월
서귀포일터나눔 지역자활센터 - 엄블랑디,T1,33.2523903,126.5575943,제주 서귀포시 서귀동 330-25번지 서귀동,1.0,가정식,04월
사라봉회관,T1,33.5140168,126.5425175,제주 제주시 건입동 682-4번지,1.0,가정식,12월
삼배통,T1,33.4985425,126.5217559,제주 제주시 삼도일동 574-25번지 삼도일동,1.0,가정식,12월
춘천명동닭갈비일도점,T6,33.5030391,126.5420933,제주 제주시 이도이동 408-2번지 1층,1.0,단품요리 전문,05월
제주씨푸드,T6,33.5241111,126.5897835,제주 제주시 삼양일동 1662-12번지,1.0,단품요리 전문,07월
루팡,T6,33.4908043,126.4913085,제주 제주시 연동 271-39번지 1층,1.0,단품요리 전문,05월
이디카페,T6,33.2478042,126.5644626,제주 서귀포시 서귀동 406-16번지 지하1층,1.0,단품요리 전문,06월
바바라(Babara),T6,33.2475357,126.5623677,제주 서귀포시 서귀동 424번지 2층,1.0,단품요리 전문,07월
오리본가,T6,33.2545545,126.5712908,제주 서귀포시 동홍동 647-4번지,1.0,단품요리 전문,06월
정성푸드,T6,33.4959445,126.5309822,제주 제주시 이도이동 1012-6번지 장수하이츠빌라 지층,1.0,단품요리 전문,07월
수연,T6,33.250613,126.5628064,제주 서귀포시 서귀동 278-7번지 1층,1.0,단품요리 전문,06월
쉬크,T6,33.4974514,126.5269346,제주 제주시 도남동 917-8번지,1.0,단품요리 전문,06월
마음휴양소카페,T6,33.5129009,126.5316166,제주 제주시 일도일동 1067번지 1층,1.0,단품요리 전문,12월
삼성웰스토리 (주)호텔신라제주면세점,C1,33.4866699,126.4872744,제주 제주시 연동 252-7번지 2층,1.0,패스트푸드/간단한 식사,05월
차화술,T1,33.5099229,126.5328493,제주 제주시 일도이동 1020-21번지 2층,1.0,가정식,01월
제주씨푸드,T6,33.5241111,126.5897835,제주 제주시 삼양일동 1662-12번지,1.0,단품요리 전문,03월
파도수산,T6,33.4846272,126.4021567,제주 제주시 애월읍 하귀2리 1656-2번지,1.0,단품요리 전문,03월
주식회사 전철우고향랭면,T1,33.4790508,126.470798,제주 제주시 노형동 2282번지 1층,1.0,가정식,03월
샤커,T6,33.4876719,126.4317725,제주 제주시 외도일동 550-7번지 2층,1.0,단품요리 전문,08월
수연,T6,33.250613,126.5628064,제주 서귀포시 서귀동 278-7번지 1층,1.0,단품요리 전문,03월
자몽,T6,33.505726,126.5437001,제주 제주시 일도이동 419번지 1층,1.0,단품요리 전문,03월
아이,T6,33.5032169,126.5412012,제주 제주시 일도이동 414-21번지 일도이동,1.0,단품요리 전문,03월
비행접시,T6,33.213583,126.2734322,제주 서귀포시 대정읍 상모리 1974-5번지 1층,1.0,단품요리 전문,08월
루팡,T6,33.4908043,126.4913085,제주 제주시 연동 271-39번지 1층,1.0,단품요리 전문,03월
삼성웰스토리 (주)호텔신라제주면세점,C1,33.4866699,126.4872744,제주 제주시 연동 252-7번지 2층,0.98876404494382,패스트푸드/간단한 식사,06월
현숙,T20,33.501458,126.5273691,제주 제주시 이도일동 1786-17번지,0.988235294117647,양식,07월
현숙,T20,33.501458,126.5273691,제주 제주시 이도일동 1786-17번지,0.9875,양식,06월
현숙,T20,33.501458,126.5273691,제주 제주시 이도일동 1786-17번지,0.987179487179487,양식,12월
마당민속주점,T6,33.5018785,126.5464811,제주 제주시 일도이동 74-7번지,0.977272727272727,단품요리 전문,02월
현숙,T20,33.501458,126.5273691,제주 제주시 이도일동 1786-17번지,0.977011494252873,양식,08월
오리본가,T6,33.2545545,126.5712908,제주 서귀포시 동홍동 647-4번지,0.976744186046511,단품요리 전문,08월
현숙,T20,33.501458,126.5273691,제주 제주시 이도일동 1786-17번지,0.976470588235294,양식,09월
현숙,T20,33.501458,126.5273691,제주 제주시 이도일동 1786-17번지,0.975903614457831,양식,04월
현숙,T20,33.501458,126.5273691,제주 제주시 이도일동 1786-17번지,0.975903614457831,양식,05월
현숙,T20,33.501458,126.5273691,제주 제주시 이도일동 1786-17번지,0.975308641975308,양식,10월
현숙,T20,33.501458,126.5273691,제주 제주시 이도일동 1786-17번지,0.975,양식,11월
일도돈,T1,33.5060861,126.5406736,제주 제주시 일도이동 378-4번지 동명빌딩 1층,0.974358974358974,가정식,04월
세인트,T6,33.5018718,126.5433573,제주 제주시 일도이동 68-9번지 2층,0.974358974358974,단품요리 전문,07월
세인트,T6,33.5018718,126.5433573,제주 제주시 일도이동 68-9번지 2층,0.973684210526315,단품요리 전문,06월
비비큐삼양해수욕장점,T25,33.5276898,126.5899975,제주 제주시 삼양일동 1581-29번지 1층,0.970588235294117,치킨,07월
마당민속주점,T6,33.5018785,126.5464811,제주 제주시 일도이동 74-7번지,0.969696969696969,단품요리 전문,01월
송이축산정육식당삼양점,T1,33.520576,126.5799477,제주 제주시 삼양이동 2149-1번지 1층,0.96875,가정식,04월
본치킨,T25,33.4902737,126.432747,제주 제주시 외도일동 480-4번지 1층,0.967741935483871,치킨,10월
모음해장국,T6,33.5158096,126.5400537,제주 제주시 건입동 675-18번지 1층,0.967213114754098,단품요리 전문,08월
서도가든,T1,33.5217617,126.5659725,제주 제주시 화북일동 1947-25번지 화북백록연립 101호,0.966101694915254,가정식,04월
쌍팔련도 도남점,T6,33.4958086,126.5268994,제주 제주시 도남동 908-12번지,0.96551724137931,단품요리 전문,12월
정든공간,T1,33.4989633,126.5252575,제주 제주시 도남동 915번지,0.964285714285714,가정식,12월
지원,T1,33.5059021,126.5451693,제주 제주시 일도이동 46-1번지 혜성대유아파트 105동 102호,0.963636363636363,가정식,01월
모란카페,T26,33.5018173,126.5281176,제주 제주시 이도일동 1789-5번지 2층,0.962962962962962,커피,04월
양키즈,T25,33.5128473,126.5244478,제주 제주시 일도일동 1454-2번지 15호,0.962962962962962,치킨,12월
지원,T1,33.5059021,126.5451693,제주 제주시 일도이동 46-1번지 혜성대유아파트 105동 102호,0.962616822429906,가정식,03월
삼성웰스토리 (주)호텔신라제주면세점,C1,33.4866699,126.4872744,제주 제주시 연동 252-7번지 2층,0.962264150943396,패스트푸드/간단한 식사,07월
꽃다운주점삼화지구점,T11,33.516771,126.5794602,제주 제주시 도련일동 1940-1번지 1층 107호,0.962025316455696,맥주/요리주점,08월
춘천명동닭갈비일도점,T6,33.5030391,126.5420933,제주 제주시 이도이동 408-2번지 1층,0.961538461538461,단품요리 전문,06월
진향갈비,T1,33.4946044,126.5274911,제주 제주시 도남동 54-22번지 1층,0.961038961038961,가정식,01월
써니꼬마김밥본점,T15,33.4735502,126.542946,제주 제주시 아라일동 6088번지 제주아라KCC스위첸아파트 104호,0.96,분식,01월
제주슈퍼1963,T1,33.5098304,126.512807,제주 제주시 용담일동 306-13번지,0.96,가정식,09월
앙끄레,T1,33.2570768,126.5744454,제주 서귀포시 동홍동 106-5번지 1층,0.958333333333333,가정식,09월
소소돈,T6,33.4866223,126.4321667,제주 제주시 외도일동 559-2번지 오페라하우스 1층,0.958333333333333,단품요리 전문,08월
모란카페,T26,33.5018173,126.5281176,제주 제주시 이도일동 1789-5번지 2층,0.958333333333333,커피,02월
풍류담원제과제빵커피학원,T13,33.4838459,126.4434897,제주 제주시 내도동 96-1번지 3층,0.958333333333333,베이커리,08월
우등생네번째이야기,T6,33.4836646,126.5397863,제주 제주시 아라일동 2388-1번지 1층,0.958333333333333,단품요리 전문,12월
풍류담원제과제빵커피학원,T13,33.4838459,126.4434897,제주 제주시 내도동 96-1번지 3층,0.958333333333333,베이커리,07월
비행접시,T6,33.213583,126.2734322,제주 서귀포시 대정읍 상모리 1974-5번지 1층,0.958333333333333,단품요리 전문,10월
제주섬도야지,T6,33.5063932,126.5235948,제주 제주시 삼도이동 1235-13번지 1층,0.957831325301204,단품요리 전문,10월
레브,T1,33.4958682,126.5286351,제주 제주시 도남동 86-4번지 1층,0.957142857142857,가정식,12월
갑부보쌈,T6,33.4958382,126.5275148,제주 제주시 도남동 922-31번지 1층,0.956521739130434,단품요리 전문,08월
인생민물장어동홍점,T6,33.255384,126.5718425,제주 서귀포시 동홍동 114-11번지 1층,0.956521739130434,단품요리 전문,05월
서도가든,T1,33.5217617,126.5659725,제주 제주시 화북일동 1947-25번지 화북백록연립 101호,0.956521739130434,가정식,08월
샤브마니아제주외도점,T6,33.4857793,126.4270054,제주 제주시 외도일동 626-1번지 2층,0.955882352941176,단품요리 전문,04월
도담길,T1,33.4969857,126.5261129,제주 제주시 도남동 910-17번지 도남동,0.955555555555555,가정식,12월
애주가,T11,33.4872656,126.4320293,제주 제주시 외도일동 551-6번지 다세대주택 나동,0.955555555555555,맥주/요리주점,08월
유일무이,T6,33.5021391,126.5431964,제주 제주시 일도이동 68-7번지,0.955555555555555,단품요리 전문,08월
풍류담원제과제빵커피학원,T13,33.4838459,126.4434897,제주 제주시 내도동 96-1번지 3층,0.954545454545454,베이커리,06월
금별맥주 일도점,T11,33.5030391,126.5420933,제주 제주시 이도이동 408-2번지 1층,0.954545454545454,맥주/요리주점,04월
난타오천도남점,T29,33.4952914,126.5272375,제주 제주시 도남동 52번지,0.954397394136807,피자,02월
참맛골,T1,33.2582962,126.5774428,제주 서귀포시 토평동 3264-6번지,0.953488372093023,가정식,02월
폭풍장어용담점,T6,33.5108996,126.5117954,제주 제주시 용담이동 358-20번지 1층,0.953125,단품요리 전문,05월
지원,T1,33.5059021,126.5451693,제주 제주시 일도이동 46-1번지 혜성대유아파트 105동 102호,0.952380952380952,가정식,06월
대정숯불갈비,T1,33.2195221,126.2478901,제주 서귀포시 대정읍 하모리 1089-44번지,0.952380952380952,가정식,11월
수리조아,T6,33.5096229,126.5396856,제주 제주시 일도이동 329-13번지 1층,0.952380952380952,단품요리 전문,03월
난타오천도남점,T29,33.4952914,126.5272375,제주 제주시 도남동 52번지,0.952380952380952,피자,01월
다소니전집,T6,33.5093758,126.5263743,제주 제주시 이도일동 1549-7번지 1층,0.952380952380952,단품요리 전문,11월
난타오천도남점,T29,33.4952914,126.5272375,제주 제주시 도남동 52번지,0.952205882352941,피자,09월
일도수입쇠고기,T6,33.5003542,126.5490183,제주 제주시 일도이동 100-3번지,0.951724137931034,단품요리 전문,03월
고향숯불막창일도점,T6,33.5029833,126.5426735,제주 제주시 일도이동 48-9번지,0.951690821256038,단품요리 전문,04월
제주섬도야지,T6,33.5063932,126.5235948,제주 제주시 삼도이동 1235-13번지 1층,0.951515151515151,단품요리 전문,09월
춘천명동닭갈비일도점,T6,33.5030391,126.5420933,제주 제주시 이도이동 408-2번지 1층,0.950617283950617,단품요리 전문,09월
서도가든,T1,33.5217617,126.5659725,제주 제주시 화북일동 1947-25번지 화북백록연립 101호,0.950413223140495,가정식,05월
월드카페,T26,33.4174102,126.2639547,제주 제주시 한림읍 한림리 1314-84번지 1층,0.95,커피,10월
현숙,T20,33.501458,126.5273691,제주 제주시 이도일동 1786-17번지,0.95,양식,03월
서도가든,T1,33.5217617,126.5659725,제주 제주시 화북일동 1947-25번지 화북백록연립 101호,0.949579831932773,가정식,07월
금별맥주 일도점,T11,33.5030391,126.5420933,제주 제주시 이도이동 408-2번지 1층,0.94927536231884,맥주/요리주점,05월
비에이치씨제주화북점,T25,33.5195511,126.5741903,제주 제주시 화북일동 10-2번지 1층,0.949152542372881,치킨,01월
떡마을,C2,33.4966933,126.5379654,제주 제주시 이도이동 1069-3번지,0.949152542372881,디저트/간식,01월
돈우랑,T1,33.5081754,126.5397649,제주 제주시 일도이동 354-30번지 1층,0.949152542372881,가정식,04월
서도가든,T1,33.5217617,126.5659725,제주 제주시 화북일동 1947-25번지 화북백록연립 101호,0.948979591836734,가정식,09월
춘천명동닭갈비일도점,T6,33.5030391,126.5420933,제주 제주시 이도이동 408-2번지 1층,0.948979591836734,단품요리 전문,10월
고코요,T6,33.5046814,126.539983,제주 제주시 일도이동 382-27번지 1층,0.948717948717948,단품요리 전문,12월
일도수입쇠고기,T6,33.5003542,126.5490183,제주 제주시 일도이동 100-3번지,0.948571428571428,단품요리 전문,09월
춘천명동닭갈비일도점,T6,33.5030391,126.5420933,제주 제주시 이도이동 408-2번지 1층,0.948148148148148,단품요리 전문,08월
뚱이네민물장어,T6,33.5094405,126.5108917,제주 제주시 용담이동 624-13번지 1층,0.947368421052631,단품요리 전문,07월
오리본가,T6,33.2545545,126.5712908,제주 서귀포시 동홍동 647-4번지,0.947368421052631,단품요리 전문,09월
소소돈,T6,33.4866223,126.4321667,제주 제주시 외도일동 559-2번지 오페라하우스 1층,0.947368421052631,단품요리 전문,09월
교촌치킨 오라점,T25,33.4903484,126.5184436,제주 제주시 오라일동 982-1번지 1층,0.947368421052631,치킨,11월
풍류담원제과제빵커피학원,T13,33.4838459,126.4434897,제주 제주시 내도동 96-1번지 3층,0.947368421052631,베이커리,05월
현숙,T20,33.501458,126.5273691,제주 제주시 이도일동 1786-17번지,0.946666666666666,양식,02월
수문미트,T1,33.4902206,126.4781441,제주 제주시 노형동 1050-5번지 1층,0.946428571428571,가정식,05월
김준호의대단한갈비 제주서귀포점,T6,33.2536256,126.5640762,제주 서귀포시 서귀동 283-21번지 1층,0.946107784431137,단품요리 전문,04월
(주)아워홈 카카오제주점,C1,33.4495251,126.5743285,제주 제주시 영평동 2184번지 1층,0.945945945945945,패스트푸드/간단한 식사,10월
양키즈,T25,33.5128473,126.5244478,제주 제주시 일도일동 1454-2번지 15호,0.945945945945945,치킨,07월
난타오천도남점,T29,33.4952914,126.5272375,제주 제주시 도남동 52번지,0.945945945945945,피자,03월
일도수입쇠고기,T6,33.5003542,126.5490183,제주 제주시 일도이동 100-3번지,0.945578231292517,단품요리 전문,05월
참맛골,T1,33.2582962,126.5774428,제주 서귀포시 토평동 3264-6번지,0.945454545454545,가정식,05월
일도수입쇠고기,T6,33.5003542,126.5490183,제주 제주시 일도이동 100-3번지,0.945205479452054,단품요리 전문,01월
고향숯불막창일도점,T6,33.5029833,126.5426735,제주 제주시 일도이동 48-9번지,0.945205479452054,단품요리 전문,01월
현숙,T20,33.501458,126.5273691,제주 제주시 이도일동 1786-17번지,0.945205479452054,양식,01월
고향숯불막창일도점,T6,33.5029833,126.5426735,제주 제주시 일도이동 48-9번지,0.945054945054945,단품요리 전문,03월
고향숯불막창일도점,T6,33.5029833,126.5426735,제주 제주시 일도이동 48-9번지,0.944785276073619,단품요리 전문,02월
비행접시,T6,33.213583,126.2734322,제주 서귀포시 대정읍 상모리 1974-5번지 1층,0.944444444444444,단품요리 전문,09월
영찬한우,T6,33.4996956,126.5328413,제주 제주시 이도이동 1139-30번지 1층,0.944444444444444,단품요리 전문,10월
일도수입쇠고기,T6,33.5003542,126.5490183,제주 제주시 일도이동 100-3번지,0.944444444444444,단품요리 전문,08월
본치킨,T25,33.4902737,126.432747,제주 제주시 외도일동 480-4번지 1층,0.944444444444444,치킨,11월
일도수입쇠고기,T6,33.5003542,126.5490183,제주 제주시 일도이동 100-3번지,0.944099378881987,단품요리 전문,07월
난타오천도남점,T29,33.4952914,126.5272375,제주 제주시 도남동 52번지,0.944029850746268,피자,10월
펭귄부인,T6,33.4890268,126.5362958,제주 제주시 이도이동 2004-6번지 1층,0.943925233644859,단품요리 전문,12월
제주섬도야지,T6,33.5063932,126.5235948,제주 제주시 삼도이동 1235-13번지 1층,0.94375,단품요리 전문,08월
일도수입쇠고기,T6,33.5003542,126.5490183,제주 제주시 일도이동 100-3번지,0.943396226415094,단품요리 전문,12월
목민,T1,33.4959536,126.5250016,제주 제주시 도남동 906-31번지 1층,0.943396226415094,가정식,05월
일도수입쇠고기,T6,33.5003542,126.5490183,제주 제주시 일도이동 100-3번지,0.943262411347517,단품요리 전문,02월
김준호의대단한갈비 제주도남점,T6,33.495306,126.5267812,제주 제주시 도남동 52-4번지 1층,0.943243243243243,단품요리 전문,02월
귀한족발제주일도점,T6,33.5058826,126.5405835,제주 제주시 일도이동 378-7번지 102호,0.942857142857142,단품요리 전문,01월
감성쭈꾸미,T6,33.4851447,126.4311102,제주 제주시 외도일동 637-12번지 1층,0.942857142857142,단품요리 전문,07월
블리,T6,33.5023628,126.5425101,제주 제주시 이도이동 408-6번지 은경빌딩 2층,0.942857142857142,단품요리 전문,12월
캐리어에어콘제주총판,T6,33.4868951,126.5250146,제주 제주시 도남동 ,0.942857142857142,단품요리 전문,12월
일도수입쇠고기,T6,33.5003542,126.5490183,제주 제주시 일도이동 100-3번지,0.942675159235668,단품요리 전문,06월
일도수입쇠고기,T6,33.5003542,126.5490183,제주 제주시 일도이동 100-3번지,0.942307692307692,단품요리 전문,10월
제주정낭집이도점,T6,33.4882894,126.5331778,제주 제주시 이도이동 2036-9번지 1층,0.942307692307692,단품요리 전문,07월
레브,T1,33.4958682,126.5286351,제주 제주시 도남동 86-4번지 1층,0.942028985507246,가정식,11월
달콤왕가탕후루 삼화점,C1,33.5164423,126.5810067,제주 제주시 도련일동 1937-5번지 1층,0.941818181818181,패스트푸드/간단한 식사,08월
춘천명동닭갈비일도점,T6,33.5030391,126.5420933,제주 제주시 이도이동 408-2번지 1층,0.941747572815534,단품요리 전문,07월
쉬크,T6,33.4974514,126.5269346,제주 제주시 도남동 917-8번지,0.941176470588235,단품요리 전문,08월
맑은옹달샘소주방,T6,33.499523,126.5228695,제주 제주시 삼도일동 579-9번지 1층,0.941176470588235,단품요리 전문,09월
참맛골,T1,33.2582962,126.5774428,제주 서귀포시 토평동 3264-6번지,0.941176470588235,가정식,01월
SM아이스크림 할인점,C2,33.5165548,126.5826521,제주 제주시 도련일동 1909번지 제주삼화사랑으로부영7차아파트 상가동 103호,0.940568475452196,디저트/간식,11월
